,OpportunityID,leaseIDNumber,market_startD,applicationDate,ApprovedDate,MoveInMSRDate,EvaluatorRegion,Verified_monthlyIncome,Verified_RTI,RiskScore
0,321837|2021-04-21,10152735.0,2021-04-21,2021-04-23,,,Memphis,,,
1,321837|2021-04-21,10152747.0,2021-04-21,2021-04-23,,,Memphis,7187.5,24.0,
2,321837|2021-04-21,10152893.0,2021-04-21,2021-04-23,,,Memphis,,,
3,321837|2021-04-21,10152943.0,2021-04-21,2021-04-23,,,Memphis,,,
4,321837|2021-04-21,10152951.0,2021-04-21,2021-04-23,,,Memphis,,,
5,321837|2021-04-21,10152965.0,2021-04-21,2021-04-23,,,Memphis,,,
6,321837|2021-04-21,10152982.0,2021-04-21,2021-04-23,,,Memphis,,,
7,321837|2021-04-21,10153091.0,2021-04-21,2021-04-24,2021-04-26,2021-05-05,Memphis,8000.0,21.5625,665.0
8,321837|2021-04-21,10153175.0,2021-04-21,2021-04-24,,,Memphis,,,
9,321837|2021-04-21,10153214.0,2021-04-21,2021-04-24,,,Memphis,,,
10,321837|2021-04-21,10153343.0,2021-04-21,2021-04-24,,,Memphis,,,
11,321837|2021-04-21,100152735.0,2021-04-21,2021-04-23,,,Memphis,7360.0,23.4375,671.0
12,321837|2021-04-21,100152747.0,2021-04-21,2021-04-23,,,Memphis,7187.5,24.0,646.0
13,321837|2021-04-21,100152893.0,2021-04-21,2021-04-23,,,Memphis,7700.0,22.4025974025974,
14,321837|2021-04-21,100152943.0,2021-04-21,2021-04-23,,,Memphis,5530.0,31.193490054249544,
15,321837|2021-04-21,100152951.0,2021-04-21,2021-04-23,,,Memphis,7000.0,24.642857142857146,593.0
16,321837|2021-04-21,100152965.0,2021-04-21,2021-04-23,,,Memphis,7000.0,24.642857142857146,589.0
17,321837|2021-04-21,100152982.0,2021-04-21,2021-04-23,,,Memphis,6000.0,28.749999999999996,613.0
18,321837|2021-04-21,100153175.0,2021-04-21,2021-04-24,,,Memphis,12833.0,13.441907582015117,550.0
19,321837|2021-04-21,100153214.0,2021-04-21,2021-04-24,,,Memphis,7700.0,22.4025974025974,572.0
20,321837|2021-04-21,100153343.0,2021-04-21,2021-04-24,,,Memphis,5600.0,30.80357142857143,556.0
21,359445|2021-12-10,10210824.0,2021-12-10,2021-11-26,2021-12-01,2021-12-17,Oklahoma City,4681.208053691275,29.8,663.0
22,356833|2021-07-27,10181139.0,2021-07-27,2021-07-14,,,Tampa,,,
23,356833|2021-07-27,10181731.0,2021-07-27,2021-07-14,,,Tampa,,,
24,356833|2021-07-27,10181807.0,2021-07-27,2021-07-15,,,Tampa,,,
25,356833|2021-07-27,10182285.0,2021-07-27,2021-07-17,,,Tampa,1748.39,,
26,356833|2021-07-27,10182359.0,2021-07-27,2021-07-18,,,Tampa,,,
27,356833|2021-07-27,10183552.0,2021-07-27,2021-07-21,,,Tampa,,,
28,356833|2021-07-27,10184551.0,2021-07-27,2021-07-26,,,Tampa,,,
29,356833|2021-07-27,10185234.0,2021-07-27,2021-07-28,,,Tampa,,,
30,356833|2021-07-27,10188939.0,2021-07-27,2021-08-12,2021-08-12,,Tampa,,,
31,356833|2021-07-27,10215524.0,2021-07-27,2021-12-26,2021-12-27,2022-01-13,Tampa,8200.0,23.414634146341466,727.0
32,356833|2021-07-27,100181139.0,2021-07-27,2021-07-14,,,Tampa,3100.0,57.096774193548384,582.0
33,356833|2021-07-27,100181731.0,2021-07-27,2021-07-14,,,Tampa,7000.0,25.285714285714285,656.0
34,356833|2021-07-27,100182359.0,2021-07-27,2021-07-18,,,Tampa,6000.0,29.5,565.0
35,356833|2021-07-27,100183552.0,2021-07-27,2021-07-21,,,Tampa,6600.0,29.09090909090909,501.0
36,356833|2021-07-27,100185234.0,2021-07-27,2021-07-28,,,Tampa,9500.0,20.210526315789473,543.0
37,396662|2021-07-27,10177305.0,2021-07-27,2021-06-28,,,Dallas,,,
38,396662|2021-07-27,10181958.0,2021-07-27,2021-07-15,2021-07-22,,Dallas,,,
39,396662|2021-07-27,10182187.0,2021-07-27,2021-07-16,,,Dallas,,,
40,396662|2021-07-27,10183257.0,2021-07-27,2021-07-20,,,Dallas,,,
41,396662|2021-07-27,10183260.0,2021-07-27,2021-07-20,2021-08-03,2021-08-12,Dallas,9800.0,21.63265306122449,753.0
42,396662|2021-07-27,10183614.0,2021-07-27,2021-07-22,,,Dallas,,,
43,396662|2021-07-27,10184831.0,2021-07-27,2021-07-27,,,Dallas,,,
44,396662|2021-07-27,10185153.0,2021-07-27,2021-07-28,,,Dallas,,,
45,396662|2021-07-27,10185196.0,2021-07-27,2021-07-28,,,Dallas,,,
46,396662|2021-07-27,10185901.0,2021-07-27,2021-07-31,,,Dallas,,,
47,396662|2021-07-27,10185908.0,2021-07-27,2021-07-31,,,Dallas,,,
48,396662|2021-07-27,10186198.0,2021-07-27,2021-08-01,,,Dallas,,,
49,396662|2021-07-27,10186398.0,2021-07-27,2021-08-02,,,Dallas,,,
50,396662|2021-07-27,10186460.0,2021-07-27,2021-08-02,,,Dallas,,,
51,396662|2021-07-27,100177305.0,2021-07-27,2021-06-28,,,Dallas,8960.0,23.660714285714285,580.0
52,396662|2021-07-27,100181958.0,2021-07-27,2021-07-15,2021-07-22,,Dallas,7083.0,29.648454044896233,641.0
53,396662|2021-07-27,100183257.0,2021-07-27,2021-07-20,,,Dallas,9000.0,23.333333333333332,616.0
54,396662|2021-07-27,100183614.0,2021-07-27,2021-07-22,,,Dallas,6360.0,33.33333333333333,726.0
55,396662|2021-07-27,100184831.0,2021-07-27,2021-07-27,,,Dallas,9933.0,21.342998087184135,589.0
56,396662|2021-07-27,100185153.0,2021-07-27,2021-07-28,,,Dallas,6360.0,33.33333333333333,501.0
57,396662|2021-07-27,100185196.0,2021-07-27,2021-07-28,,,Dallas,9541.0,22.219893092967194,564.0
58,396662|2021-07-27,100185901.0,2021-07-27,2021-07-31,,,Dallas,6360.0,33.33333333333333,543.0
59,396662|2021-07-27,100186198.0,2021-07-27,2021-08-01,,,Dallas,7000.0,30.28571428571429,572.0
60,396662|2021-07-27,100186398.0,2021-07-27,2021-08-02,,,Dallas,10550.0,20.09478672985782,508.0
61,393890|2021-02-19,10128106.0,2021-02-19,2021-02-19,,,Atlanta,,,
62,393890|2021-02-19,10133039.0,2021-02-19,2021-02-17,,,Atlanta,,,
63,393890|2021-02-19,10133182.0,2021-02-19,2021-02-18,,,Atlanta,4696.048632218845,32.9,
64,393890|2021-02-19,10133239.0,2021-02-19,2021-02-18,,,Atlanta,,,
65,393890|2021-02-19,10133933.0,2021-02-19,2021-02-22,2021-02-26,2021-03-08,Atlanta,8930.635838150289,17.3,550.0
66,393890|2021-02-19,10134242.0,2021-02-19,2021-02-23,,,Atlanta,,,
67,393890|2021-02-19,10134445.0,2021-02-19,2021-02-23,,,Atlanta,,,
68,393890|2021-02-19,10134518.0,2021-02-19,2021-02-24,,,Atlanta,,,
69,393890|2021-02-19,10134660.0,2021-02-19,2021-02-24,,,Atlanta,,,
70,393890|2021-02-19,10134800.0,2021-02-19,2021-02-25,,,Atlanta,,,
71,393890|2021-02-19,100128106.0,2021-02-19,2021-02-19,,,Atlanta,5000.0,29.9,553.0
72,393890|2021-02-19,100133239.0,2021-02-19,2021-02-18,,,Atlanta,5583.0,27.6732939279957,502.0
73,393890|2021-02-19,100134242.0,2021-02-19,2021-02-23,,,Atlanta,15000.0,10.299999999999999,
74,393890|2021-02-19,100134445.0,2021-02-19,2021-02-23,,,Atlanta,5500.0,28.09090909090909,
75,393890|2021-02-19,100134518.0,2021-02-19,2021-02-24,,,Atlanta,5100.0,30.294117647058822,491.0
76,393890|2021-02-19,100134660.0,2021-02-19,2021-02-24,,,Atlanta,8500.0,18.176470588235293,650.0
77,393890|2021-02-19,100134800.0,2021-02-19,2021-02-25,,,Atlanta,8500.0,18.176470588235293,
78,395720|2021-03-20,10139647.0,2021-03-20,2021-03-25,2021-03-26,2021-04-04,Dallas,7606.837606837607,23.4,466.0
79,395720|2021-03-20,10141158.0,2021-03-20,2021-03-18,,,Dallas,,,
80,395720|2021-03-20,10141390.0,2021-03-20,2021-03-19,,,Dallas,,,
81,395720|2021-03-20,10142937.0,2021-03-20,2021-03-24,,,Dallas,,,
82,395720|2021-03-20,10143135.0,2021-03-20,2021-03-25,,,Dallas,,,
83,395720|2021-03-20,10143199.0,2021-03-20,2021-03-25,,,Dallas,,,
84,395720|2022-04-14,10247350.0,2022-04-14,2022-04-16,,,Dallas,1461.0,,521.0
85,395720|2022-04-14,10253899.0,2022-04-14,2022-05-25,2022-05-26,2022-06-30,Dallas,9430.894308943089,24.6,598.0
86,395720|2021-03-20,100141158.0,2021-03-20,2021-03-18,,,Dallas,11300.0,15.752212389380531,605.0
87,395720|2021-03-20,100141390.0,2021-03-20,2021-03-19,,,Dallas,6000.0,29.666666666666668,504.0
88,403213|2021-04-14,10139972.0,2021-04-14,2021-03-15,,,Dallas,,,
89,403213|2021-04-14,10140714.0,2021-04-14,2021-03-17,,,Dallas,,,
90,403213|2021-04-14,10142923.0,2021-04-14,2021-04-07,2021-04-08,2021-04-23,Dallas,6305.03144654088,31.8,551.0
91,403213|2021-04-14,10143834.0,2021-04-14,2021-03-28,,,Dallas,,,
92,403213|2022-05-04,10267590.0,2022-05-04,2022-06-12,,,Dallas,32000.0,7.796875,605.0
93,403213|2022-05-04,10270010.0,2022-05-04,2022-06-19,,,Dallas,24980.0,9.687750200160128,685.0
94,403213|2022-05-04,10272067.0,2022-05-04,2022-06-25,,,Dallas,14816.0,15.827483801295896,589.0
95,403213|2022-05-04,10272254.0,2022-05-04,2022-06-25,2022-06-27,2022-07-12,Dallas,9811.715481171548,23.9,642.0
96,403213|2021-04-14,100139972.0,2021-04-14,2021-03-15,,,Dallas,5100.0,39.21568627450981,517.0
97,403213|2021-04-14,100143834.0,2021-04-14,2021-03-28,,,Dallas,7450.0,26.845637583892618,773.0
98,403775|2021-04-01,10144007.0,2021-04-01,2021-04-01,2021-04-01,2021-04-15,Memphis,4810.996563573883,29.1,
99,433864|2022-04-02,10266291.0,2022-04-02,2022-06-08,,,Memphis,4500.0,34.333333333333336,483.0
100,433864|2022-04-02,10266447.0,2022-04-02,2022-06-08,,,Memphis,,,
101,433864|2022-04-02,10266448.0,2022-04-02,2022-06-09,,,Memphis,4825.0,32.020725388601036,545.0
102,433864|2022-04-02,10266528.0,2022-04-02,2022-06-09,,,Memphis,3500.0,44.142857142857146,608.0
103,433864|2022-04-02,10266698.0,2022-04-02,2022-06-09,,,Memphis,7000.0,22.071428571428573,599.0
104,433864|2022-04-02,10266755.0,2022-04-02,2022-06-09,,,Memphis,3000.0,51.5,596.0
105,433864|2022-04-02,10266771.0,2022-04-02,2022-06-09,,,Memphis,5739.0,26.92106638787245,539.0
106,433874|2022-02-04,10229961.0,2022-02-04,2022-03-01,,,Memphis,7000.0,25.0,571.0
107,433874|2022-02-04,10230442.0,2022-02-04,2022-03-02,,,Memphis,5266.0,33.23205469046715,571.0
108,433874|2022-02-04,10232351.0,2022-02-04,2022-03-07,,,Memphis,7300.0,23.972602739726025,637.0
109,433874|2022-02-04,10237342.0,2022-02-04,2022-03-19,2022-03-21,2022-04-04,Memphis,9308.510638297872,18.8,683.0
110,435565|2022-06-02,10256101.0,2022-06-02,2022-05-10,2022-05-16,,Oklahoma City,6960.0,22.988505747126435,479.0
111,435565|2022-06-02,10273991.0,2022-06-02,2022-07-01,,,Oklahoma City,1600.0,,585.0
112,435565|2022-06-02,10275696.0,2022-06-02,2022-07-07,,,Oklahoma City,5250.0,30.38095238095238,
113,435565|2022-06-02,10276031.0,2022-06-02,2022-07-08,,,Oklahoma City,7400.0,21.216216216216218,554.0
114,435565|2022-06-02,10277543.0,2022-06-02,2022-07-14,,,Oklahoma City,5500.0,28.545454545454547,733.0
115,435565|2022-06-02,10277769.0,2022-06-02,2022-07-14,,,Oklahoma City,12460.31746031746,12.6,757.0
116,435565|2022-06-02,10277775.0,2022-06-02,2022-07-14,,,Oklahoma City,5416.0,28.988183161004432,
117,435565|2022-06-02,10277914.0,2022-06-02,2022-07-15,,,Oklahoma City,8200.0,19.146341463414636,648.0
118,435565|2022-06-02,10278506.0,2022-06-02,2022-07-17,,,Oklahoma City,61000.0,2.5737704918032787,575.0
119,435565|2022-06-02,10278556.0,2022-06-02,2022-07-17,2022-07-18,2022-07-26,Oklahoma City,7336.448598130842,21.4,741.0
120,435565|2022-06-02,10278776.0,2022-06-02,2022-07-18,,,Oklahoma City,7233.0,21.706069404120004,539.0
121,405762|2023-02-08,10336182.0,2023-02-08,2023-02-03,,,Dallas,8700.0,22.93103448275862,471.0
122,405762|2023-02-08,10338360.0,2023-02-08,2023-02-10,2023-02-15,2023-02-24,Dallas,8562.231759656652,23.3,711.0
123,405762|2023-02-08,10338482.0,2023-02-08,2023-02-11,,,Dallas,3300.0,60.45454545454545,688.0
124,405762|2023-02-08,10338609.0,2023-02-08,2023-02-11,,,Dallas,2425.0,82.2680412371134,553.0
125,433864|2022-04-02,10240586.0,2022-04-02,2022-03-29,,,Memphis,8116.0,21.500739280433713,583.0
126,433864|2022-04-02,10242221.0,2022-04-02,2022-04-02,2022-04-05,,Memphis,10398.773006134968,16.3,553.0
127,433864|2022-04-02,10242280.0,2022-04-02,2022-04-03,,,Memphis,5225.0,32.44019138755981,555.0
128,433864|2022-04-02,10266150.0,2022-04-02,2022-06-08,2022-06-10,2022-06-24,Memphis,6928.251121076233,22.3,648.0
129,433864|2022-04-02,10266243.0,2022-04-02,2022-06-08,,,Memphis,17000.0,9.088235294117647,700.0
130,436031|2021-01-30,10131131.0,2021-01-30,2021-02-10,,,Nashville,,,
131,436031|2021-01-30,10131311.0,2021-01-30,2021-02-09,2021-02-13,2021-02-26,Nashville,,,
132,436031|2022-03-16,10229660.0,2022-03-16,2022-02-28,2022-03-07,,Nashville,5821.917808219178,29.2,787.0
133,436031|2022-03-16,10231427.0,2022-03-16,2022-03-22,,,Nashville,7400.0,22.972972972972975,712.0
134,436031|2022-03-16,10238550.0,2022-03-16,2022-03-23,,,Nashville,5200.0,32.59615384615385,460.0
135,436031|2022-03-16,10238863.0,2022-03-16,2022-03-24,,,Nashville,7214.0,23.495980038813418,457.0
136,436031|2022-03-16,10238969.0,2022-03-16,2022-03-24,,,Nashville,5500.0,30.818181818181817,760.0
137,436031|2022-03-16,10239046.0,2022-03-16,2022-03-24,2022-03-28,2022-04-07,Nashville,6918.367346938776,24.5,704.0
138,436031|2022-03-16,10239084.0,2022-03-16,2022-03-24,,,Nashville,5500.0,30.818181818181817,586.0
139,436031|2022-03-16,10239215.0,2022-03-16,2022-03-24,,,Nashville,8135.0,20.835894283958208,501.0
140,436031|2022-03-16,10239407.0,2022-03-16,2022-03-25,,,Nashville,12300.0,13.78048780487805,760.0
141,436031|2022-03-16,10239464.0,2022-03-16,2022-03-25,,,Nashville,7200.0,23.541666666666668,602.0
142,436031|2022-03-16,10239490.0,2022-03-16,2022-03-25,,,Nashville,6238.0,27.17217056748958,601.0
143,436031|2022-03-16,10239742.0,2022-03-16,2022-03-26,,,Nashville,6000.0,28.249999999999996,765.0
144,436031|2022-03-16,10240252.0,2022-03-16,2022-03-28,,,Nashville,7000.0,24.21428571428571,717.0
145,436031|2021-01-30,100131131.0,2021-01-30,2021-02-10,,,Nashville,4385.0,37.51425313568985,627.0
146,437482|2021-05-07,10158463.0,2021-05-07,2021-05-07,,,Memphis,,,
147,437482|2021-05-07,10158562.0,2021-05-07,2021-05-07,,,Memphis,,,
148,437482|2021-05-07,10158579.0,2021-05-07,2021-05-07,,,Memphis,,,
149,437482|2021-05-07,10158590.0,2021-05-07,2021-05-07,,,Memphis,,,
150,437482|2021-05-07,10158620.0,2021-05-07,2021-05-07,2021-05-07,2021-05-21,Memphis,5120.845921450151,33.1,689.0
151,437482|2022-05-24,10258667.0,2022-05-24,2022-05-17,2022-05-25,2022-06-20,Memphis,5708.092485549132,34.6,570.0
152,437482|2021-05-07,100158590.0,2021-05-07,2021-05-07,,,Memphis,5500.0,30.818181818181817,
153,441486|2023-03-09,10341730.0,2023-03-09,2023-02-20,,,Greensboro,5700.0,29.47368421052631,653.0
154,441486|2023-03-09,10342293.0,2023-03-09,2023-02-22,2023-02-26,2023-03-30,Greensboro,5626.255860683189,29.86,676.0
155,441515|2021-10-20,10201276.0,2021-10-20,2021-10-07,2021-10-07,2021-10-26,Oklahoma City,4885.057471264367,26.1,675.0
156,446088|2021-06-04,10167300.0,2021-06-04,2021-05-27,2021-06-10,2021-06-23,Memphis,8661.971830985916,21.3,568.0
157,446088|2021-06-04,10170062.0,2021-06-04,2021-06-04,2021-06-07,,Memphis,5694.444444444444,32.4,
158,446088|2021-06-04,10170123.0,2021-06-04,2021-06-04,,,Memphis,,,
159,446088|2021-06-04,100170062.0,2021-06-04,2021-06-04,2021-06-07,,Memphis,5694.444444444444,32.4,711.0
160,446094|2021-05-01,10156619.0,2021-05-01,2021-05-03,2021-05-06,2021-05-20,Memphis,7500.0,22.6,636.0
161,446094|2021-05-01,10157340.0,2021-05-01,2021-05-04,,,Memphis,,,
162,446094|2021-05-01,10157376.0,2021-05-01,2021-05-04,,,Memphis,,,
163,446094|2021-05-01,10157557.0,2021-05-01,2021-05-05,,,Memphis,,,
164,446094|2021-05-01,10158013.0,2021-05-01,2021-05-06,,,Memphis,,,
165,446094|2021-05-01,10158055.0,2021-05-01,2021-05-06,,,Memphis,,,
166,446094|2021-05-01,100157340.0,2021-05-01,2021-05-04,,,Memphis,6146.0,27.578913114220633,633.0
167,446094|2021-05-01,100157376.0,2021-05-01,2021-05-04,,,Memphis,5300.0,31.981132075471695,620.0
168,446094|2021-05-01,100157557.0,2021-05-01,2021-05-05,,,Memphis,14000.0,12.107142857142856,556.0
169,446094|2021-05-01,100158013.0,2021-05-01,2021-05-06,,,Memphis,36029.0,4.704543562130506,627.0
170,446094|2021-05-01,100158055.0,2021-05-01,2021-05-06,,,Memphis,,,
171,446104|2021-03-19,10139335.0,2021-03-19,2021-03-13,,,Memphis,,,
172,446104|2021-03-19,10140843.0,2021-03-19,2021-03-17,,,Memphis,,,
173,446104|2021-03-19,10140996.0,2021-03-19,2021-03-18,,,Memphis,,,
174,446104|2021-03-19,10142100.0,2021-03-19,2021-03-22,2021-03-25,2021-04-02,Memphis,8676.470588235294,17.0,
175,446104|2022-04-17,10254369.0,2022-04-17,2022-05-05,,,Memphis,6500.0,26.076923076923077,488.0
176,446104|2022-04-17,10256456.0,2022-04-17,2022-05-11,,,Memphis,5600.0,30.267857142857142,
177,446104|2022-04-17,10256819.0,2022-04-17,2022-05-12,,,Memphis,6333.0,26.764566556134533,575.0
178,446104|2022-04-17,10257045.0,2022-04-17,2022-05-12,,,Memphis,4666.0,32.04029147021003,626.0
179,446104|2022-04-17,10258063.0,2022-04-17,2022-05-24,2022-05-24,2022-06-07,Memphis,5833.333333333334,28.2,777.0
180,446104|2022-04-17,10258597.0,2022-04-17,2022-05-17,,,Memphis,3000.0,54.833333333333336,625.0
181,446104|2022-04-17,10260202.0,2022-04-17,2022-05-21,,,Memphis,5262.0,31.26187761307488,658.0
182,446104|2021-03-19,100139335.0,2021-03-19,2021-03-13,,,Memphis,5677.0,26.42240620045799,555.0
183,446104|2021-03-19,100140996.0,2021-03-19,2021-03-18,,,Memphis,15000.0,10.0,552.0
184,446107|2022-03-05,10246689.0,2022-03-05,2022-04-14,,,Memphis,6000.0,32.416666666666664,578.0
185,446107|2022-03-05,10253361.0,2022-03-05,2022-05-03,,,Memphis,6000.0,32.416666666666664,602.0
186,446107|2022-03-05,10259892.0,2022-03-05,2022-05-20,,,Memphis,2000.0,,589.0
187,446107|2022-03-05,10261520.0,2022-03-05,2022-05-25,,,Memphis,9602.0,18.694022078733596,527.0
188,446107|2022-03-05,10261569.0,2022-03-05,2022-05-25,,,Memphis,3415.0,52.56222547584187,631.0
189,446107|2022-03-05,10261627.0,2022-03-05,2022-05-25,,,Memphis,7253.0,24.748379980697642,523.0
190,446107|2022-03-05,10264571.0,2022-03-05,2022-06-03,,,Memphis,4670.0,36.29550321199144,601.0
191,446107|2022-03-05,10266584.0,2022-03-05,2022-06-09,,,Memphis,8000.0,21.1875,546.0
192,446107|2022-03-05,10267074.0,2022-03-05,2022-06-10,2022-06-29,,Memphis,,,533.0
193,446107|2022-03-05,10268879.0,2022-03-05,2022-06-16,,,Memphis,6000.0,28.249999999999996,617.0
194,446107|2022-03-05,10268911.0,2022-03-05,2022-06-16,,,Memphis,1785.0,,561.0
195,446107|2022-03-05,10269477.0,2022-03-05,2022-06-17,,,Memphis,,,610.0
196,435757|2021-12-31,10220608.0,2021-12-31,2022-01-21,,,Memphis,8357.0,18.487495512743806,
197,435757|2021-12-31,10222605.0,2021-12-31,2022-02-01,,,Memphis,3166.0,48.79974731522426,572.0
198,435757|2021-12-31,10226756.0,2021-12-31,2022-02-20,2022-02-22,2022-03-04,Memphis,5988.372093023256,25.8,668.0
199,435757|2021-12-31,10226803.0,2021-12-31,2022-02-20,,,Memphis,6166.0,25.05676289328576,502.0
